index,value,weight,type
13,6007.06,1,low
20,6080.71,1,high
27,6101.28,1,high
27,6101.28,1,high
27,6101.28,1,high
32,6019.96,1,low
32,6019.96,1,low
38,6073.38,1,high
41,6042.34,1,low
46,6076.28,1,high
48,6003.0,1,low
48,6003.0,1,low
48,6003.0,1,low
62,6127.47,1,high
62,6127.47,1,high
69,6125.39,1,high
73,6099.51,1,low
81,6147.43,1,high
81,6147.43,1,high
81,6147.43,1,high
81,6147.43,1,high
83,6084.59,1,low
89,6121.72,1,high
97,5977.83,1,low
106,5908.49,1,low
106,5908.49,1,low
112,6009.82,1,high
128,5837.66,1,low
132,5986.09,1,high
132,5986.09,1,high
139,5732.59,1,low
139,5732.59,1,low
144,5865.08,1,high
148,5742.35,1,low
151,5860.59,1,high
166,5783.01,1,high
166,5783.01,1,high
178,5528.41,1,low
178,5528.41,1,low
181,5642.19,1,high
181,5642.19,1,high
192,5504.65,1,low
192,5504.65,1,low
192,5504.65,1,low
192,5504.65,1,low
207,5703.52,1,high
207,5703.52,1,high
211,5597.76,1,low
211,5597.76,1,low
221,5715.33,1,high
221,5715.33,1,high
223,5632.33,1,low
230,5603.1,1,low
230,5603.1,1,low
245,5786.95,1,high
245,5786.95,1,high
245,5786.95,1,high
245,5786.95,1,high
251,5783.62,1,high
258,5670.94,1,low
272,5488.73,1,low
272,5488.73,1,low
272,5488.73,1,low
281,5650.57,1,high
286,5571.48,1,low
289,5695.31,1,high
289,5695.31,1,high
