index,value,weight,type
11,5620.01,1,low
13,5636.73,1,high
13,5636.73,1,high
19,5633.09,1,high
22,5571.48,1,low
22,5571.48,1,low
22,5571.48,1,low
43,5619.35,1,high
47,5606.22,1,low
47,5606.22,1,low
54,5627.4,1,high
54,5627.4,1,high
54,5627.4,1,high
62,5604.34,1,low
62,5604.34,1,low
62,5604.34,1,low
74,5619.31,1,low
83,5636.99,1,high
83,5636.99,1,high
83,5636.99,1,high
89,5625.9,1,low
93,5635.36,1,high
107,5633.22,1,low
109,5643.96,1,high
109,5643.96,1,high
109,5643.96,1,high
121,5642.53,1,high
127,5630.89,1,low
127,5630.89,1,low
127,5630.89,1,low
139,5659.15,1,high
139,5659.15,1,high
139,5659.15,1,high
146,5659.06,1,high
162,5633.38,1,low
162,5633.38,1,low
162,5633.38,1,low
187,5660.83,1,high
194,5661.41,1,high
197,5656.74,1,low
203,5667.32,1,high
203,5667.32,1,high
210,5657.88,1,low
210,5657.88,1,low
223,5681.42,1,high
223,5681.42,1,high
229,5673.76,1,low
243,5695.31,1,high
243,5695.31,1,high
243,5695.31,1,high
243,5695.31,1,high
253,5681.58,1,low
283,5654.19,1,low
283,5654.19,1,low
287,5663.84,1,high
294,5664.7,1,high
294,5664.7,1,high
301,5647.01,1,low
305,5653.43,1,high
321,5632.13,1,low
321,5632.13,1,low
321,5632.13,1,low
321,5632.13,1,low
333,5658.65,1,high
333,5658.65,1,high
333,5658.65,1,high
351,5633.28,1,low
351,5633.28,1,low
351,5633.28,1,low
358,5650.54,1,high
358,5650.54,1,high
364,5648.27,1,high
370,5638.68,1,low
370,5638.68,1,low
407,5677.95,1,high
407,5677.95,1,high
407,5677.95,1,high
407,5677.95,1,high
413,5475.54,1,low
413,5475.54,1,low
431,5471.34,1,low
435,5491.7,1,high
435,5491.7,1,high
456,5440.74,1,low
460,5453.57,1,high
467,5436.66,1,low
467,5436.66,1,low
467,5436.66,1,low
475,5458.46,1,high
475,5458.46,1,high
475,5458.46,1,high
485,5447.37,1,high
499,5429.03,1,high
508,5426.92,1,high
510,5415.66,1,low
510,5415.66,1,low
510,5415.66,1,low
510,5415.66,1,low
525,5432.64,1,low
525,5432.64,1,low
531,5447.15,1,high
533,5437.22,1,low
545,5463.2,1,high
545,5463.2,1,high
555,5442.36,1,low
555,5442.36,1,low
566,5467.81,1,high
572,5457.41,1,low
585,5479.84,1,high
589,5467.4,1,low
593,5483.04,1,high
593,5483.04,1,high
593,5483.04,1,high
593,5483.04,1,high
602,5460.56,1,low
602,5460.56,1,low
606,5477.31,1,high
606,5477.31,1,high
613,5469.84,1,high
619,5451.44,1,low
619,5451.44,1,low
624,5461.59,1,high
631,5463.7,1,high
631,5463.7,1,high
634,5450.58,1,low
646,5440.68,1,low
655,5440.45,1,low
655,5440.45,1,low
655,5440.45,1,low
670,5457.73,1,high
670,5457.73,1,high
670,5457.73,1,high
702,5424.23,1,low
702,5424.23,1,low
706,5433.3,1,high
714,5420.6,1,low
714,5420.6,1,low
714,5420.6,1,low
716,5433.47,1,high
733,5443.19,1,high
733,5443.19,1,high
733,5443.19,1,high
739,5432.59,1,low
739,5432.59,1,low
749,5440.2,1,high
749,5440.2,1,high
761,5406.75,1,low
761,5406.75,1,low
770,5418.88,1,high
780,5400.6,1,low
780,5400.6,1,low
787,5415.92,1,high
787,5415.92,1,high
795,5396.7,1,low
796,5405.67,1,high
