index,value,weight,type
11,5620.01,5,low
13,5636.73,7,high
13,5636.73,2,high
19,5633.09,13,high
22,5571.48,16,low
22,5571.48,11,low
22,5571.48,1,low
43,5619.35,37,high
47,5606.22,41,low
47,5606.22,36,low
54,5627.4,48,high
54,5627.4,43,high
54,5627.4,33,high
62,5604.34,56,low
62,5604.34,51,low
62,5604.34,41,low
74,5619.31,68,low
83,5636.99,77,high
83,5636.99,72,high
83,5636.99,62,high
89,5625.9,83,low
93,5635.36,87,high
107,5633.22,101,low
109,5643.96,103,high
109,5643.96,98,high
109,5643.96,88,high
121,5642.53,115,high
127,5630.89,121,low
127,5630.89,116,low
127,5630.89,106,low
139,5659.15,133,high
139,5659.15,128,high
139,5659.15,118,high
146,5659.06,140,high
162,5633.38,156,low
162,5633.38,151,low
162,5633.38,141,low
187,5660.83,181,high
194,5661.41,188,high
197,5656.74,191,low
203,5667.32,197,high
203,5667.32,192,high
210,5657.88,204,low
210,5657.88,199,low
223,5681.42,217,high
223,5681.42,212,high
229,5673.76,223,low
243,5695.31,237,high
243,5695.31,232,high
243,5695.31,222,high
243,5695.31,192,high
253,5681.58,247,low
283,5654.19,277,low
283,5654.19,272,low
287,5663.84,281,high
294,5664.7,288,high
294,5664.7,283,high
301,5647.01,295,low
305,5653.43,299,high
321,5632.13,315,low
321,5632.13,310,low
321,5632.13,300,low
321,5632.13,270,low
333,5658.65,327,high
333,5658.65,322,high
333,5658.65,312,high
351,5633.28,345,low
351,5633.28,340,low
351,5633.28,330,low
358,5650.54,352,high
358,5650.54,347,high
364,5648.27,358,high
370,5638.68,364,low
370,5638.68,359,low
407,5677.95,401,high
407,5677.95,396,high
407,5677.95,386,high
407,5677.95,356,high
413,5475.54,407,low
413,5475.54,402,low
431,5471.34,425,low
435,5491.7,429,high
435,5491.7,424,high
456,5440.74,450,low
460,5453.57,454,high
467,5436.66,461,low
467,5436.66,456,low
467,5436.66,446,low
475,5458.46,469,high
475,5458.46,464,high
475,5458.46,454,high
485,5447.37,479,high
499,5429.03,493,high
508,5426.92,502,high
510,5415.66,504,low
510,5415.66,499,low
510,5415.66,489,low
510,5415.66,459,low
525,5432.64,519,low
525,5432.64,514,low
531,5447.15,525,high
533,5437.22,527,low
545,5463.2,539,high
545,5463.2,534,high
555,5442.36,549,low
555,5442.36,544,low
566,5467.81,560,high
572,5457.41,566,low
585,5479.84,579,high
589,5467.4,583,low
593,5483.04,587,high
593,5483.04,582,high
593,5483.04,572,high
593,5483.04,542,high
602,5460.56,596,low
602,5460.56,591,low
606,5477.31,600,high
606,5477.31,595,high
613,5469.84,607,high
619,5451.44,613,low
619,5451.44,608,low
624,5461.59,618,high
631,5463.7,625,high
631,5463.7,620,high
634,5450.58,628,low
646,5440.68,640,low
655,5440.45,649,low
655,5440.45,644,low
655,5440.45,634,low
670,5457.73,664,high
670,5457.73,659,high
670,5457.73,649,high
702,5424.23,696,low
702,5424.23,691,low
706,5433.3,700,high
714,5420.6,708,low
714,5420.6,703,low
714,5420.6,693,low
716,5433.47,710,high
733,5443.19,727,high
733,5443.19,722,high
733,5443.19,712,high
739,5432.59,733,low
739,5432.59,728,low
749,5440.2,743,high
749,5440.2,738,high
761,5406.75,755,low
761,5406.75,750,low
770,5418.88,764,high
780,5400.6,774,low
780,5400.6,769,low
787,5415.92,781,high
787,5415.92,776,high
795,5396.7,789,low
796,5405.67,790,high
