index,value,weight,type
7,5631.18,1,high
19,5631.01,1,high
19,5631.01,1,high
39,5580.52,1,low
42,5598.64,1,high
46,5560.95,1,low
46,5560.95,1,low
46,5560.95,1,low
68,5646.95,1,high
68,5646.95,1,high
68,5646.95,1,high
76,5583.71,1,low
76,5583.71,1,low
84,5632.29,1,high
84,5632.29,1,high
94,5581.79,1,low
94,5581.79,1,low
107,5651.37,1,high
107,5651.37,1,high
107,5651.37,1,high
107,5651.37,1,high
114,5559.88,1,low
134,5504.33,1,low
134,5504.33,1,low
134,5504.33,1,low
142,5552.99,1,high
142,5552.99,1,high
146,5520.01,1,low
158,5503.66,1,low
158,5503.66,1,low
166,5546.3,1,high
166,5546.3,1,high
166,5546.3,1,high
174,5480.54,1,low
174,5480.54,1,low
184,5519.22,1,high
190,5522.47,1,high
190,5522.47,1,high
190,5522.47,1,high
203,5404.47,1,low
205,5427.51,1,high
209,5402.62,1,low
209,5402.62,1,low
209,5402.62,1,low
209,5402.62,1,low
219,5470.09,1,high
224,5434.49,1,low
231,5484.2,1,high
231,5484.2,1,high
237,5449.58,1,low
237,5449.58,1,low
244,5495.14,1,high
244,5495.14,1,high
244,5495.14,1,high
252,5484.5,1,high
254,5441.72,1,low
254,5441.72,1,low
269,5497.91,1,high
269,5497.91,1,high
276,5406.96,1,low
276,5406.96,1,low
276,5406.96,1,low
276,5406.96,1,low
304,5573.08,1,high
315,5600.71,1,high
319,5573.96,1,low
335,5635.87,1,high
338,5619.66,1,low
341,5636.27,1,high
341,5636.27,1,high
341,5636.27,1,high
353,5635.05,1,high
356,5604.53,1,low
356,5604.53,1,low
356,5604.53,1,low
384,5670.81,1,high
384,5670.81,1,high
384,5670.81,1,high
396,5614.05,1,low
396,5614.05,1,low
396,5614.05,1,low
397,5636.2300000000005,1,high
402,5619.35,1,low
406,5642.84,1,high
406,5642.84,1,high
416,5618.47,1,low
416,5618.47,1,low
424,5689.75,1,high
431,5615.08,1,low
431,5615.08,1,low
431,5615.08,1,low
437,5723.88,1,high
450,5733.57,1,high
450,5733.57,1,high
450,5733.57,1,high
450,5733.57,1,high
467,5674.49,1,low
467,5674.49,1,low
467,5674.49,1,low
476,5709.1900000000005,1,high
480,5684.37,1,low
480,5684.37,1,low
490,5725.36,1,high
490,5725.36,1,high
490,5725.36,1,high
496,5723.76,1,high
501,5704.22,1,low
501,5704.22,1,low
514,5731.0,1,high
518,5698.99,1,low
518,5698.99,1,low
518,5698.99,1,low
527,5734.43,1,high
527,5734.43,1,high
534,5718.11,1,low
534,5718.11,1,low
543,5741.03,1,high
543,5741.03,1,high
543,5741.03,1,high
558,5712.06,1,low
558,5712.06,1,low
558,5712.06,1,low
568,5767.37,1,high
568,5767.37,1,high
568,5767.37,1,high
568,5767.37,1,high
574,5730.400000000001,1,low
583,5721.01,1,low
583,5721.01,1,low
587,5748.89,1,high
592,5740.71,1,low
598,5763.78,1,high
598,5763.78,1,high
598,5763.78,1,high
615,5727.34,1,low
625,5724.35,1,low
625,5724.35,1,low
633,5743.86,1,high
633,5743.86,1,high
641,5703.53,1,low
647,5765.14,1,high
647,5765.14,1,high
647,5765.14,1,high
647,5765.14,1,high
