index,value,weight,type
13,4078.4900000000002,1,high
18,3808.86,1,low
18,3808.86,1,low
25,4039.4900000000002,1,high
43,4169.4800000000005,1,high
49,4049.35,1,low
52,4186.92,1,high
52,4186.92,1,high
55,4048.28,1,low
55,4048.28,1,low
55,4048.28,1,low
66,4212.91,1,high
69,4103.9800000000005,1,low
85,4448.47,1,high
90,4328.08,1,low
94,4458.4800000000005,1,high
112,4607.07,1,high
112,4607.07,1,high
112,4607.07,1,high
112,4607.07,1,high
128,4335.31,1,low
128,4335.31,1,low
128,4335.31,1,low
138,4541.25,1,high
138,4541.25,1,high
138,4541.25,1,high
141,4430.46,1,low
146,4511.99,1,high
159,4216.45,1,low
159,4216.45,1,low
169,4393.57,1,high
169,4393.57,1,high
177,4103.78,1,low
177,4103.78,1,low
177,4103.78,1,low
177,4103.78,1,low
200,4537.24,1,low
219,4793.3,1,high
224,4682.11,1,low
224,4682.11,1,low
231,4714.82,1,low
241,4845.150000000001,1,low
249,5048.39,1,high
250,4920.31,1,low
264,5056.82,1,low
267,5189.26,1,high
281,5264.85,1,high
281,5264.85,1,high
281,5264.85,1,high
296,4953.56,1,low
296,4953.56,1,low
296,4953.56,1,low
320,5341.88,1,high
325,5191.68,1,low
325,5191.68,1,low
338,5505.53,1,high
345,5446.53,1,low
355,5669.67,1,high
355,5669.67,1,high
355,5669.67,1,high
362,5390.95,1,low
367,5566.16,1,high
369,5193.56,1,low
369,5193.56,1,low
369,5193.56,1,low
383,5651.62,1,high
383,5651.62,1,high
391,5402.62,1,low
391,5402.62,1,low
405,5767.37,1,high
409,5674.0,1,low
419,5878.46,1,high
419,5878.46,1,high
423,5762.41,1,low
431,5696.51,1,low
431,5696.51,1,low
436,6017.31,1,high
440,5853.01,1,low
453,6094.55,1,high
453,6094.55,1,high
453,6094.55,1,high
455,6029.89,1,low
463,5832.3,1,low
472,6021.04,1,high
476,5773.31,1,low
476,5773.31,1,low
476,5773.31,1,low
484,6128.18,1,high
484,6128.18,1,high
490,5923.93,1,low
490,5923.93,1,low
497,6003.0,1,low
501,6147.43,1,high
501,6147.43,1,high
501,6147.43,1,high
517,5504.650000000001,1,low
517,5504.650000000001,1,low
525,5786.95,1,high
