index,value,weight,type
5,4057.85,1,high
21,4127.66,1,high
29,4133.13,1,high
29,4133.13,1,high
29,4133.13,1,high
31,4086.87,1,low
44,4069.84,1,low
44,4069.84,1,low
44,4069.84,1,low
49,4107.32,1,high
52,4072.55,1,low
68,4134.37,1,high
68,4134.37,1,high
74,4086.94,1,low
74,4086.94,1,low
84,4163.1900000000005,1,high
84,4163.1900000000005,1,high
88,4113.2,1,low
88,4113.2,1,low
97,4123.18,1,low
100,4169.4800000000005,1,high
100,4169.4800000000005,1,high
100,4169.4800000000005,1,high
100,4169.4800000000005,1,high
108,4134.49,1,low
113,4162.57,1,high
113,4162.57,1,high
116,4122.64,1,low
125,4113.86,1,low
125,4113.86,1,low
133,4142.41,1,high
133,4142.41,1,high
139,4137.54,1,high
154,4049.35,1,low
154,4049.35,1,low
154,4049.35,1,low
175,4186.92,1,high
175,4186.92,1,high
175,4186.92,1,high
175,4186.92,1,high
182,4089.7200000000003,1,low
182,4089.7200000000003,1,low
193,4148.3,1,high
193,4148.3,1,high
199,4048.28,1,low
199,4048.28,1,low
199,4048.28,1,low
199,4048.28,1,low
209,4147.02,1,high
209,4147.02,1,high
217,4142.3,1,high
220,4116.65,1,low
228,4154.28,1,high
228,4154.28,1,high
228,4154.28,1,high
232,4098.92,1,low
232,4098.92,1,low
232,4098.92,1,low
234,4147.32,1,high
244,4143.74,1,high
249,4099.12,1,low
249,4099.12,1,low
256,4141.25,1,high
256,4141.25,1,high
267,4109.86,1,low
267,4109.86,1,low
285,4212.91,1,high
285,4212.91,1,high
285,4212.91,1,high
292,4209.22,1,high
293,4179.68,1,low
311,4103.9800000000005,1,low
311,4103.9800000000005,1,low
311,4103.9800000000005,1,low
311,4103.9800000000005,1,low
332,4231.1,1,high
332,4231.1,1,high
332,4231.1,1,high
342,4166.15,1,low
342,4166.15,1,low
368,4299.28,1,high
368,4299.28,1,high
368,4299.28,1,high
372,4263.09,1,low
372,4263.09,1,low
380,4299.1900000000005,1,high
380,4299.1900000000005,1,high
388,4261.07,1,low
388,4261.07,1,low
388,4261.07,1,low
397,4322.62,1,high
397,4322.62,1,high
422,4391.82,1,high
425,4337.85,1,low
425,4337.85,1,low
436,4448.47,1,high
436,4448.47,1,high
436,4448.47,1,high
436,4448.47,1,high
445,4367.1900000000005,1,low
453,4360.14,1,low
457,4386.22,1,high
460,4351.82,1,low
466,4382.25,1,high
468,4343.64,1,low
482,4328.08,1,low
482,4328.08,1,low
482,4328.08,1,low
482,4328.08,1,low
495,4390.35,1,high
514,4458.4800000000005,1,high
514,4458.4800000000005,1,high
514,4458.4800000000005,1,high
521,4436.61,1,low
531,4385.05,1,low
531,4385.05,1,low
531,4385.05,1,low
541,4440.39,1,high
541,4440.39,1,high
548,4389.92,1,low
548,4389.92,1,low
562,4488.34,1,high
578,4527.76,1,high
578,4527.76,1,high
583,4499.56,1,low
604,4578.43,1,high
604,4578.43,1,high
604,4578.43,1,high
615,4527.56,1,low
615,4527.56,1,low
615,4527.56,1,low
623,4535.79,1,low
638,4580.62,1,high
647,4547.58,1,low
649,4607.07,1,high
649,4607.07,1,high
649,4607.07,1,high
649,4607.07,1,high
655,4528.56,1,low
655,4528.56,1,low
655,4528.56,1,low
659,4590.16,1,high
665,4594.22,1,high
665,4594.22,1,high
690,4485.54,1,low
690,4485.54,1,low
700,4540.34,1,high
700,4540.34,1,high
703,4474.55,1,low
711,4519.84,1,high
715,4464.39,1,low
719,4503.31,1,high
723,4461.33,1,low
730,4527.37,1,high
730,4527.37,1,high
730,4527.37,1,high
