index,value,weight,type
8,5649.400000000001,1,low
19,5654.64,12,low
32,5668.32,25,high
32,5668.32,20,high
32,5668.32,10,high
38,5652.0,31,low
38,5652.0,26,low
38,5652.0,16,low
46,5663.400000000001,39,high
48,5656.41,41,low
56,5670.25,49,high
62,5660.36,55,low
64,5671.9400000000005,57,high
64,5671.9400000000005,52,high
64,5671.9400000000005,42,high
64,5671.9400000000005,12,high
79,5605.5,72,low
79,5605.5,67,low
79,5605.5,57,low
86,5624.72,79,high
86,5624.72,74,high
90,5615.32,83,low
95,5624.43,88,high
96,5610.7300000000005,89,low
96,5610.7300000000005,84,low
101,5624.92,94,high
101,5624.92,89,high
101,5624.92,79,high
114,5603.1,107,low
114,5603.1,102,low
114,5603.1,92,low
114,5603.1,62,low
129,5625.93,122,high
129,5625.93,117,high
129,5625.93,107,high
134,5618.55,127,low
145,5613.66,138,low
145,5613.66,133,low
145,5613.66,123,low
155,5620.27,148,low
163,5640.5,156,high
163,5640.5,151,high
163,5640.5,141,high
163,5640.5,111,high
168,5634.07,161,low
190,5620.13,183,low
190,5620.13,178,low
196,5627.68,189,high
196,5627.68,184,high
206,5612.4800000000005,199,low
211,5620.37,204,high
216,5612.24,209,low
220,5621.49,213,high
225,5611.41,218,low
225,5611.41,213,low
225,5611.41,203,low
225,5611.41,173,low
248,5650.1,241,high
248,5650.1,236,high
248,5650.1,226,high
255,5649.95,248,high
261,5641.34,254,low
267,5641.1900000000005,260,low
267,5641.1900000000005,255,low
267,5641.1900000000005,245,low
282,5658.82,275,high
282,5658.82,270,high
282,5658.82,260,high
287,5651.77,280,low
293,5657.26,286,high
303,5645.1900000000005,296,low
307,5651.4400000000005,300,high
315,5638.76,308,low
315,5638.76,303,low
315,5638.76,293,low
315,5638.76,263,low
335,5661.61,328,high
335,5661.61,323,high
335,5661.61,313,high
335,5661.61,283,high
341,5651.24,334,low
347,5655.24,340,high
351,5647.88,344,low
356,5652.38,349,high
357,5647.27,350,low
363,5653.3,356,high
363,5653.3,351,high
372,5643.41,365,low
372,5643.41,360,low
372,5643.41,350,low
387,5655.07,380,high
387,5655.07,375,high
387,5655.07,365,high
395,5646.150000000001,388,low
401,5651.62,394,high
401,5651.62,389,high
415,5637.59,408,low
415,5637.59,403,low
415,5637.59,393,low
415,5637.59,363,low
424,5638.0,417,low
427,5646.09,420,high
427,5646.09,415,high
439,5640.04,432,low
441,5647.4400000000005,434,high
462,5670.84,455,high
495,5753.52,488,high
495,5753.52,483,high
507,5742.91,500,low
507,5742.91,495,low
507,5742.91,485,low
524,5755.9400000000005,517,high
524,5755.9400000000005,512,high
524,5755.9400000000005,502,high
537,5749.82,530,low
537,5749.82,525,low
537,5749.82,515,low
560,5755.04,553,low
560,5755.04,548,low
566,5762.85,559,high
570,5759.59,563,low
578,5762.95,571,high
578,5762.95,566,high
578,5762.95,556,high
589,5757.33,582,low
593,5760.62,586,high
601,5754.650000000001,594,low
601,5754.650000000001,589,low
601,5754.650000000001,579,low
607,5755.31,600,low
625,5766.56,618,high
625,5766.56,613,high
625,5766.56,603,high
625,5766.56,573,high
642,5764.4800000000005,635,high
648,5753.14,641,low
648,5753.14,636,low
653,5758.07,646,high
660,5750.82,653,low
660,5750.82,648,low
660,5750.82,638,low
665,5758.1,658,high
665,5758.1,653,high
695,5752.04,688,high
698,5747.77,691,low
698,5747.77,686,low
698,5747.77,676,low
705,5749.45,698,low
713,5752.54,706,low
721,5751.68,714,low
721,5751.68,709,low
730,5755.62,723,high
730,5755.62,718,high
738,5753.85,731,high
742,5743.86,735,low
742,5743.86,730,low
742,5743.86,720,low
753,5745.45,746,low
755,5748.99,748,high
755,5748.99,743,high
763,5744.26,756,low
766,5747.64,759,high
770,5743.6900000000005,763,low
770,5743.6900000000005,758,low
770,5743.6900000000005,748,low
770,5743.6900000000005,718,low
781,5756.9800000000005,774,high
784,5749.77,777,low
798,5757.42,791,low
804,5763.81,797,high
804,5763.81,792,high
812,5760.25,805,low
812,5760.25,800,low
823,5764.81,816,high
823,5764.81,811,high
831,5763.96,824,high
833,5761.22,826,low
833,5761.22,821,low
846,5770.4400000000005,839,high
853,5775.14,846,high
857,5764.59,850,low
857,5764.59,845,low
861,5779.76,854,high
861,5779.76,849,high
861,5779.76,839,high
861,5779.76,809,high
866,5768.2300000000005,859,low
872,5775.24,865,high
881,5763.91,874,low
886,5774.81,879,high
886,5774.81,874,high
892,5763.05,885,low
892,5763.05,880,low
892,5763.05,870,low
892,5763.05,840,low
917,5774.87,910,low
924,5777.46,917,low
934,5785.84,927,high
940,5782.86,933,low
942,5786.95,935,high
942,5786.95,930,high
942,5786.95,920,high
942,5786.95,890,high
948,5780.86,941,low
948,5780.86,936,low
957,5785.36,950,high
957,5785.36,945,high
971,5779.43,964,low
976,5782.27,969,high
976,5782.27,964,high
988,5776.01,981,low
995,5779.01,988,high
995,5779.01,983,high
1008,5768.6900000000005,1001,low
1011,5772.1,1004,high
1016,5768.29,1009,low
1016,5768.29,1004,low
1021,5772.31,1014,high
1021,5772.31,1009,high
1029,5767.09,1022,low
1029,5767.09,1017,low
1033,5771.79,1026,high
1033,5771.79,1021,high
1043,5764.62,1036,low
1043,5764.62,1031,low
1043,5764.62,1021,low
1043,5764.62,991,low
1064,5773.18,1057,high
1067,5770.32,1060,low
1079,5778.42,1072,high
1079,5778.42,1067,high
1079,5778.42,1057,high
1079,5778.42,1027,high
1099,5763.22,1092,low
1099,5763.22,1087,low
1099,5763.22,1077,low
1110,5765.96,1103,low
1112,5769.31,1105,high
1112,5769.31,1100,high
1112,5769.31,1090,high
1121,5764.01,1114,low
1127,5767.56,1120,high
1130,5762.99,1123,low
1136,5761.45,1129,low
1136,5761.45,1124,low
1136,5761.45,1114,low
1146,5767.31,1139,low
1152,5772.150000000001,1145,high
1152,5772.150000000001,1140,high
1152,5772.150000000001,1130,high
1152,5772.150000000001,1100,high
1162,5764.4400000000005,1155,low
1165,5768.22,1158,high
1172,5762.400000000001,1165,low
1178,5765.35,1171,high
1182,5760.42,1175,low
1182,5760.42,1170,low
1182,5760.42,1160,low
1182,5760.42,1130,low
1185,5764.74,1178,high
1190,5762.02,1183,low
1200,5768.63,1193,high
1200,5768.63,1188,high
1200,5768.63,1178,high
1203,5763.02,1196,low
1203,5763.02,1191,low
1214,5767.66,1207,high
1225,5761.14,1218,low
1225,5761.14,1213,low
1225,5761.14,1203,low
1227,5771.96,1220,high
1240,5769.900000000001,1233,low
1245,5778.45,1238,high
1245,5778.45,1233,high
1256,5768.150000000001,1249,low
1256,5768.150000000001,1244,low
1263,5783.62,1256,high
1263,5783.62,1251,high
1263,5783.62,1241,high
1263,5783.62,1211,high
1280,5755.72,1273,low
1280,5755.72,1268,low
1280,5755.72,1258,low
1284,5766.150000000001,1277,high
1291,5755.9800000000005,1284,low
1297,5763.49,1290,high
1305,5746.79,1298,low
1305,5746.79,1293,low
1305,5746.79,1283,low
1305,5746.79,1253,low
1320,5758.72,1313,high
1320,5758.72,1308,high
1331,5750.88,1324,low
1331,5750.88,1319,low
1331,5750.88,1309,low
1336,5760.46,1329,high
1338,5754.9800000000005,1331,low
1345,5760.74,1338,high
1352,5760.77,1345,high
1352,5760.77,1340,high
1352,5760.77,1330,high
1352,5760.77,1300,high
1370,5742.93,1363,low
1370,5742.93,1358,low
1375,5749.95,1368,high
1382,5749.68,1375,high
1398,5724.68,1391,low
1398,5724.68,1386,low
1398,5724.68,1376,low
1398,5724.68,1346,low
1406,5724.82,1399,low
1408,5731.9800000000005,1401,high
1422,5724.83,1415,low
1422,5724.83,1410,low
1433,5736.03,1426,high
1433,5736.03,1421,high
1433,5736.03,1411,high
1446,5725.6900000000005,1439,low
1452,5731.37,1445,high
1452,5731.37,1440,high
1459,5715.64,1452,low
1459,5715.64,1447,low
1464,5721.1900000000005,1457,high
1475,5724.16,1468,high
1475,5724.16,1463,high
1499,5701.83,1492,low
1499,5701.83,1487,low
1499,5701.83,1477,low
1499,5701.83,1447,low
1504,5714.49,1497,high
1504,5714.49,1492,high
1510,5704.39,1503,low
1522,5702.64,1515,low
1522,5702.64,1510,low
1522,5702.64,1500,low
1523,5707.36,1516,high
1541,5715.62,1534,high
1549,5717.59,1542,high
1549,5717.59,1537,high
1549,5717.59,1527,high
1549,5717.59,1497,high
1571,5695.86,1564,low
1580,5695.1900000000005,1573,low
1584,5702.33,1577,high
1584,5702.33,1572,high
1595,5694.41,1588,low
1595,5694.41,1583,low
1595,5694.41,1573,low
1605,5708.72,1598,high
1605,5708.72,1593,high
1605,5708.72,1583,high
1613,5698.7300000000005,1606,low
1613,5698.7300000000005,1601,low
1633,5717.92,1626,high
1633,5717.92,1621,high
1633,5717.92,1611,high
1633,5717.92,1581,high
1657,5670.9400000000005,1650,low
1657,5670.9400000000005,1645,low
1657,5670.9400000000005,1635,low
1657,5670.9400000000005,1605,low
1675,5711.7300000000005,1668,high
1675,5711.7300000000005,1663,high
1684,5697.97,1677,low
1684,5697.97,1672,low
1694,5714.93,1687,high
1698,5704.9800000000005,1691,low
1698,5704.9800000000005,1686,low
1719,5729.29,1712,high
1725,5720.77,1718,low
1725,5720.77,1713,low
1734,5732.28,1727,high
1734,5732.28,1722,high
1734,5732.28,1712,high
1734,5732.28,1682,high
1744,5723.91,1737,low
1744,5723.91,1732,low
1753,5731.11,1746,high
1753,5731.11,1741,high
1760,5728.05,1753,high
1783,5701.400000000001,1776,low
1786,5707.63,1779,high
1794,5700.92,1787,low
1794,5700.92,1782,low
1794,5700.92,1772,low
1801,5714.29,1794,high
1814,5721.21,1807,high
1814,5721.21,1802,high
1814,5721.21,1792,high
1814,5721.21,1762,high
1823,5708.33,1816,low
1827,5715.2300000000005,1820,high
1832,5706.32,1825,low
1838,5711.54,1831,high
1856,5686.99,1849,low
1856,5686.99,1844,low
1856,5686.99,1834,low
1856,5686.99,1804,low
1870,5703.7300000000005,1863,high
1870,5703.7300000000005,1858,high
1870,5703.7300000000005,1848,high
1883,5689.64,1876,low
1888,5696.34,1881,high
1892,5689.3,1885,low
1892,5689.3,1880,low
1898,5689.46,1891,low
1905,5699.41,1898,high
1905,5699.41,1893,high
1909,5687.17,1902,low
1909,5687.17,1897,low
1909,5687.17,1887,low
1909,5687.17,1857,low
1922,5702.96,1915,high
1930,5708.59,1923,high
1930,5708.59,1918,high
1930,5708.59,1908,high
1937,5707.38,1930,high
1939,5699.63,1932,low
1947,5699.0,1940,low
1947,5699.0,1935,low
1947,5699.0,1925,low
1956,5711.49,1949,high
1966,5713.96,1959,high
1966,5713.96,1954,high
1966,5713.96,1944,high
1974,5697.34,1967,low
1974,5697.34,1962,low
1974,5697.34,1952,low
1974,5697.34,1922,low
1977,5706.16,1970,high
1996,5722.31,1989,high
1996,5722.31,1984,high
1996,5722.31,1974,high
1996,5722.31,1944,high
2015,5712.7300000000005,2008,high
2016,5706.66,2009,low
2023,5712.61,2016,high
2040,5666.33,2033,low
2040,5666.33,2028,low
2045,5685.89,2038,high
2066,5652.02,2059,low
2069,5665.52,2062,high
2103,5605.37,2096,low
2103,5605.37,2091,low
2103,5605.37,2081,low
2110,5619.150000000001,2103,high
2110,5619.150000000001,2098,high
2116,5608.07,2109,low
2130,5599.64,2123,low
2130,5599.64,2118,low
2130,5599.64,2108,low
2130,5599.64,2078,low
2136,5613.47,2129,high
2136,5613.47,2124,high
2142,5607.09,2135,low
2144,5613.4400000000005,2137,high
2150,5603.39,2143,low
2150,5603.39,2138,low
2165,5619.33,2158,high
2165,5619.33,2153,high
2165,5619.33,2143,high
2165,5619.33,2113,high
2169,5609.22,2162,low
2175,5614.85,2168,high
2186,5601.04,2179,low
2186,5601.04,2174,low
2193,5609.26,2186,high
2193,5609.26,2181,high
2211,5588.49,2204,low
2211,5588.49,2199,low
2211,5588.49,2189,low
2223,5596.09,2216,high
2223,5596.09,2211,high
2232,5590.35,2225,low
2238,5597.08,2231,high
2238,5597.08,2226,high
2238,5597.08,2216,high
2256,5578.24,2249,low
2262,5577.74,2255,low
2264,5586.21,2257,high
2264,5586.21,2252,high
2274,5573.9400000000005,2267,low
2274,5573.9400000000005,2262,low
2274,5573.9400000000005,2252,low
2274,5573.9400000000005,2222,low
2279,5579.09,2272,high
2282,5574.07,2275,low
2294,5582.86,2287,high
2296,5577.1900000000005,2289,low
2296,5577.1900000000005,2284,low
2307,5588.45,2300,high
2313,5582.1900000000005,2306,low
2318,5591.25,2311,high
2318,5591.25,2306,high
2318,5591.25,2296,high
2318,5591.25,2266,high
2323,5582.7,2316,low
2332,5579.04,2325,low
2332,5579.04,2320,low
2341,5584.7,2334,high
2341,5584.7,2329,high
2351,5579.25,2344,high
2353,5575.39,2346,low
2353,5575.39,2341,low
2353,5575.39,2331,low
2373,5588.75,2366,high
2373,5588.75,2361,high
2373,5588.75,2351,high
2373,5588.75,2321,high
2377,5581.45,2370,low
2384,5579.57,2377,low
2386,5585.37,2379,high
2401,5572.42,2394,low
2401,5572.42,2389,low
2401,5572.42,2379,low
2409,5572.61,2402,low
2421,5586.56,2414,high
2421,5586.56,2409,high
2421,5586.56,2399,high
2432,5501.9400000000005,2425,low
2444,5488.7300000000005,2437,low
2444,5488.7300000000005,2432,low
2444,5488.7300000000005,2422,low
2444,5488.7300000000005,2392,low
2460,5532.07,2453,high
2467,5536.52,2460,high
2467,5536.52,2455,high
2467,5536.52,2445,high
2485,5515.1900000000005,2478,low
2485,5515.1900000000005,2473,low
2485,5515.1900000000005,2463,low
2493,5538.89,2486,high
2493,5538.89,2481,high
2501,5526.7300000000005,2494,low
2505,5539.85,2498,high
2505,5539.85,2493,high
2510,5527.6,2503,low
2526,5546.650000000001,2519,high
2526,5546.650000000001,2514,high
2533,5534.26,2526,low
2533,5534.26,2521,low
2543,5555.2,2536,high
2543,5555.2,2531,high
2549,5542.42,2542,low
2549,5542.42,2537,low
2559,5558.81,2552,high
2562,5552.8,2555,low
2572,5562.42,2565,high
2572,5562.42,2560,high
2572,5562.42,2550,high
2577,5552.900000000001,2570,low
2589,5540.74,2582,low
2589,5540.74,2577,low
2589,5540.74,2567,low
2589,5540.74,2537,low
2597,5555.1,2590,high
2608,5566.1900000000005,2601,high
2608,5566.1900000000005,2596,high
2608,5566.1900000000005,2586,high
2619,5565.36,2612,high
2619,5565.36,2607,high
2626,5559.71,2619,low
2632,5565.3,2625,high
2632,5565.3,2620,high
2639,5552.45,2632,low
2639,5552.45,2627,low
2639,5552.45,2617,low
2652,5572.6,2645,high
2652,5572.6,2640,high
2652,5572.6,2630,high
2652,5572.6,2600,high
2661,5550.42,2654,low
2661,5550.42,2649,low
2661,5550.42,2639,low
2677,5562.81,2670,high
2677,5562.81,2665,high
2677,5562.81,2655,high
2687,5549.1,2680,low
2687,5549.1,2675,low
2687,5549.1,2665,low
2687,5549.1,2635,low
2692,5561.83,2685,high
2698,5552.46,2691,low
2710,5590.01,2703,high
2710,5590.01,2698,high
2713,5579.5,2706,low
2718,5589.89,2711,high
2721,5584.28,2714,low
2741,5600.3,2734,high
2741,5600.3,2729,high
2741,5600.3,2719,high
2745,5584.72,2738,low
2745,5584.72,2733,low
2752,5599.61,2745,high
2758,5585.17,2751,low
2758,5585.17,2746,low
2771,5609.89,2764,high
2777,5602.56,2770,low
2782,5612.4400000000005,2775,high
2782,5612.4400000000005,2770,high
2788,5593.1,2781,low
2788,5593.1,2776,low
